敏感词,分类代码,分类说明
坎儿,A.5,无法满足特定服务类型的安全需求(通用词)
坦克,A.1,违反核心价值观(政治敏感/六四相关)
垃圾,A.2,包含歧视性内容(辱骂)
埃托啡,A.3,商业违法违规(违禁品/毒品)
城管,A.1,违反核心价值观(社会民生/争议职业)
基督教,A.1,违反核心价值观(宗教)
基督徒,A.1,违反核心价值观(宗教)
堵得,A.5,无法满足特定服务类型的安全需求(通用词)
塑胶炸弹,A.3,商业违法违规(违禁品/爆炸物)
塔利班,A.1,违反核心价值观(政治敏感/恐怖组织)
塘沽,A.5,无法满足特定服务类型的安全需求(地名)
墓碑,A.5,无法满足特定服务类型的安全需求(通用词)
增值税,A.3,商业违法违规(欺诈/非法发票)
增大,A.1,违反核心价值观(淫秽色情/药品广告)
墨索里尼,A.1,违反核心价值观(政治敏感/法西斯)
壮阳,A.1,违反核心价值观(淫秽色情/药品广告)
壹贰,A.5,无法满足特定服务类型的安全需求(通用词)
复仇,A.1,违反核心价值观(暴力)
复兴,A.1,违反核心价值观(政治敏感/口号)
夏业良,A.1,违反核心价值观(政治敏感/异见人士)
外挂,A.3,商业违法违规(网络黑产/外挂)
多党,A.1,违反核心价值观(政治敏感/政体)
多维,A.1,违反核心价值观(政治敏感/境外媒体)
夜情,A.1,违反核心价值观(淫秽色情/低俗)
夜总会,A.1,违反核心价值观(淫秽色情/娱乐场所)
大乳,A.1,违反核心价值观(淫秽色情/低俗)
大参考,A.1,违反核心价值观(政治敏感/媒体)
大师,A.1,违反核心价值观(邪教/李洪志)
大庆,A.5,无法满足特定服务类型的安全需求(地名/可能误伤)
大志,A.5,无法满足特定服务类型的安全需求(通用词)
大批,A.5,无法满足特定服务类型的安全需求(通用词)
大搞,A.5,无法满足特定服务类型的安全需求(通用词)
大法,A.1,违反核心价值观(邪教/法轮功)
大法弟子,A.1,违反核心价值观(邪教/法轮功)
大波,A.1,违反核心价值观(淫秽色情/低俗)
大烟,A.3,商业违法违规(违禁品/毒品)
大片,A.1,违反核心价值观(淫秽色情/色情视频)
大盖帽,A.1,违反核心价值观(政治敏感/执法人员)
大纪元,A.1,违反核心价值观(邪教/法轮功媒体)
大陆,A.1,违反核心价值观(政治敏感/两岸关系)
大麻,A.3,商业违法违规(违禁品/毒品)
天安门,A.1,违反核心价值观(政治敏感/地点)
天安门事件,A.1,违反核心价值观(政治敏感/历史事件)
天安门母亲,A.1,违反核心价值观(政治敏感/群体)
天葬,A.1,违反核心价值观(宗教/习俗)
太监,A.2,包含歧视性内容(侮辱)
太子党,A.1,违反核心价值观(政治敏感/高干子弟)
失身,A.1,违反核心价值观(淫秽色情/低俗)
头目,A.1,违反核心价值观(政治敏感/犯罪)
夸大,A.5,无法满足特定服务类型的安全需求(通用词)
奇闻,A.5,无法满足特定服务类型的安全需求(通用词)
奈美,A.1,违反核心价值观(淫秽色情/AV女优)
奔驰,A.5,无法满足特定服务类型的安全需求(品牌/可能误伤)
套牌,A.3,商业违法违规(欺诈/车辆违规)
奥巴马,A.1,违反核心价值观(政治敏感/外国领导人)
奥运,A.1,违反核心价值观(政治敏感/大型活动)
女优,A.1,违反核心价值观(淫秽色情/AV演员)
女佣,A.1,违反核心价值观(淫秽色情/角色扮演)
女奴,A.1,违反核心价值观(淫秽色情/SM)
奶子,A.1,违反核心价值观(淫秽色情/低俗)
奶奶,A.5,无法满足特定服务类型的安全需求(称谓/可能误伤)
奶头,A.1,违反核心价值观(淫秽色情/低俗)
奸尸,A.1,违反核心价值观(淫秽色情/变态)
奸幼,A.1,违反核心价值观(淫秽色情/犯罪)
奸淫,A.1,违反核心价值观(淫秽色情/犯罪)
她妈,A.2,包含歧视性内容(侮辱谩骂)
好爽,A.1,违反核心价值观(淫秽色情/低俗)
如来,A.5,无法满足特定服务类型的安全需求(宗教)
妈B,A.2,包含歧视性内容(侮辱谩骂)
妈的,A.2,包含歧视性内容(侮辱谩骂)
妈妈,A.5,无法满足特定服务类型的安全需求(称谓)
妓女,A.1,违反核心价值观(淫秽色情/职业)
妓院,A.1,违反核心价值观(淫秽色情/场所)
妖孽,A.5,无法满足特定服务类型的安全需求(通用词)
妙龄,A.1,违反核心价值观(淫秽色情/色情描述)
姜春云,A.1,违反核心价值观(政治敏感/官员)
姨妈,A.5,无法满足特定服务类型的安全需求(称谓)
威而刚,A.3,商业违法违规(违禁品/药品)
娃娃,A.5,无法满足特定服务类型的安全需求(通用词)
娱乐城,A.1,违反核心价值观(淫秽色情/娱乐场所)
婊子,A.2,包含歧视性内容(侮辱谩骂)
媳妇,A.5,无法满足特定服务类型的安全需求(称谓)
嫖客,A.1,违反核心价值观(淫秽色情/非法行为)
嫖宿,A.1,违反核心价值观(淫秽色情/非法行为)
嫖娼,A.1,违反核心价值观(淫秽色情/非法行为)
嫩穴,A.1,违反核心价值观(淫秽色情/低俗)
孔子,A.5,无法满足特定服务类型的安全需求(历史人物)
孕妇,A.5,无法满足特定服务类型的安全需求(通用词)
存单,A.3,商业违法违规(欺诈/金融)
孙中山,A.1,违反核心价值观(政治敏感/历史人物)
孙志刚,A.1,违反核心价值观(政治敏感/社会事件)
孙文,A.1,违反核心价值观(政治敏感/历史人物)
学历,A.3,商业违法违规(欺诈/办证)
学位证,A.3,商业违法违规(欺诈/办证)
学潮,A.1,违反核心价值观(政治敏感/历史事件)
学运,A.1,违反核心价值观(政治敏感/历史事件)
宁次,A.1,违反核心价值观(政治敏感/战犯)
安南,A.1,违反核心价值观(政治敏感/联合国前秘书长)
安定片,A.3,商业违法违规(违禁品/药品)
安局,A.1,违反核心价值观(政治敏感/机构简称)
安眠药,A.3,商业违法违规(违禁品/药品)
安立,A.5,无法满足特定服务类型的安全需求(通用词)
安纳咖,A.3,商业违法违规(违禁品/毒品)
宋平,A.1,违反核心价值观(政治敏感/元老)
宋楚瑜,A.1,违反核心价值观(政治敏感/台湾政治人物)
宋祖英,A.1,违反核心价值观(政治敏感/关联人物)
宏志,A.5,无法满足特定服务类型的安全需求(通用词)
宗教,A.1,违反核心价值观(宗教/敏感话题)
官商,A.1,违反核心价值观(政治敏感/腐败)
官场,A.1,违反核心价值观(政治敏感/腐败)
定做,A.3,商业违法违规(非法业务)
定位器,A.4,侵犯他人合法权益(隐私器材)
宝马,A.5,无法满足特定服务类型的安全需求(品牌/可能误伤)
实名,A.5,无法满足特定服务类型的安全需求(网络管理)
宣传,A.1,违反核心价值观(政治敏感/意识形态)
宣扬,A.1,违反核心价值观(政治敏感/意识形态)
宪章,A.1,违反核心价值观(政治敏感/零八宪章)
宫廷,A.5,无法满足特定服务类型的安全需求(通用词)
宰相,A.5,无法满足特定服务类型的安全需求(通用词)
害人,A.5,无法满足特定服务类型的安全需求(通用词)
害死,A.5,无法满足特定服务类型的安全需求(通用词)
家属,A.5,无法满足特定服务类型的安全需求(通用词)
家族,A.5,无法满足特定服务类型的安全需求(通用词)
容基,A.1,违反核心价值观(政治敏感/领导人名字)
宽衣,A.1,违反核心价值观(政治敏感/口误梗或色情)
密码,A.3,商业违法违规(网络黑产/盗号)
密穴,A.1,违反核心价值观(淫秽色情/低俗)
富豪,A.5,无法满足特定服务类型的安全需求(通用词)
寒假,A.5,无法满足特定服务类型的安全需求(通用词)
对冲,A.5,无法满足特定服务类型的安全需求(金融)
对抗,A.1,违反核心价值观(政治敏感/冲突)
寻欢,A.1,违反核心价值观(淫秽色情/低俗)
导火索,A.1,违反核心价值观(政治敏感/事件)
寿险,A.3,商业违法违规(商业垃圾/保险)
射精,A.1,违反核心价值观(淫秽色情/低俗)
将军,A.1,违反核心价值观(政治敏感/军方)
专制,A.1,违反核心价值观(政治敏感/反动)
专卖,A.3,商业违法违规(非法业务)
尉健行,A.1,违反核心价值观(政治敏感/领导人)
小泉,A.1,违反核心价值观(政治敏感/日本前首相)
小穴,A.1,违反核心价值观(淫秽色情/低俗)
小姐,A.1,违反核心价值观(淫秽色情/非法服务)
少妇,A.1,违反核心价值观(淫秽色情/低俗)
少年阿宾,A.1,违反核心价值观(淫秽色情/小说)
尖叫,A.1,违反核心价值观(淫秽色情/低俗)
尚昆,A.1,违反核心价值观(政治敏感/领导人名字)
尤物,A.1,违反核心价值观(淫秽色情/低俗)
就去爱,A.1,违反核心价值观(淫秽色情/色情网站)
尸体,A.1,违反核心价值观(暴力/恐怖)
屁眼,A.2,包含歧视性内容(侮辱)
屁股,A.1,违反核心价值观(淫秽色情/低俗)
层出,A.5,无法满足特定服务类型的安全需求(通用词)
屌,A.1,违反核心价值观(淫秽色情/低俗)
屄,A.1,违反核心价值观(淫秽色情/低俗)
山寨,A.5,无法满足特定服务类型的安全需求(通用词)
岚清,A.1,违反核心价值观(政治敏感/领导人名字)
岩崎,A.5,无法满足特定服务类型的安全需求(人名)
岳飞,A.5,无法满足特定服务类型的安全需求(历史人物)
工会,A.1,违反核心价值观(政治敏感/组织)
左派,A.1,违反核心价值观(政治敏感/意识形态)
巨乳,A.1,违反核心价值观(淫秽色情/低俗)
巫山,A.1,违反核心价值观(淫秽色情/隐喻)
差人,A.1,违反核心价值观(政治敏感/警察)
巴比妥,A.3,商业违法违规(违禁品/毒品)
希拉克,A.1,违反核心价值观(政治敏感/外国领导人)
帕萨特,A.5,无法满足特定服务类型的安全需求(车型)
帝王,A.5,无法满足特定服务类型的安全需求(通用词)
带套,A.1,违反核心价值观(淫秽色情/低俗)
帮派,A.1,违反核心价值观(暴力/黑社会)
幕后,A.5,无法满足特定服务类型的安全需求(通用词)
干部,A.1,违反核心价值观(政治敏感/官员)
干爹,A.1,违反核心价值观(淫秽色情/隐喻)
平反,A.1,违反核心价值观(政治敏感/历史事件)
年检,A.3,商业违法违规(非法业务/代办)
幸存,A.5,无法满足特定服务类型的安全需求(通用词)
幼女,A.1,违反核心价值观(淫秽色情/犯罪)
幽会,A.1,违反核心价值观(淫秽色情/低俗)
广场,A.1,违反核心价值观(政治敏感/天安门广场)
庄家,A.3,商业违法违规(赌博)
庆红,A.1,违反核心价值观(政治敏感/领导人名字)
废话,A.5,无法满足特定服务类型的安全需求(通用词)
庭审,A.1,违反核心价值观(政治敏感/司法)
廉政,A.1,违反核心价值观(政治敏感/反腐)
廖承志,A.1,违反核心价值观(政治敏感/官员)
延时,A.3,商业违法违规(违禁品/保健品)
廷发,A.1,违反核心价值观(政治敏感/官员名字)
建国,A.1,违反核心价值观(政治敏感/历史)
开奖,A.3,商业违法违规(赌博/彩票)
开发票,A.3,商业违法违规(欺诈/非法财务)
开苞,A.1,违反核心价值观(淫秽色情/低俗)
开锁,A.3,商业违法违规(非法业务)
异议,A.1,违反核心价值观(政治敏感/异见人士)
弄死,A.1,违反核心价值观(暴力/威胁)
张万年,A.1,违反核心价值观(政治敏感/军方)
张德江,A.1,违反核心价值观(政治敏感/领导人)
张春桥,A.1,违反核心价值观(政治敏感/四人帮)
张高丽,A.1,违反核心价值观(政治敏感/领导人)
强奸,A.1,违反核心价值观(淫秽色情/犯罪)
强拆,A.1,违反核心价值观(社会民生/暴力)
强暴,A.1,违反核心价值观(淫秽色情/犯罪)
归还,A.5,无法满足特定服务类型的安全需求(通用词)
当官,A.1,违反核心价值观(政治敏感/官员)
录音,A.4,侵犯他人合法权益(隐私)
形意,A.5,无法满足特定服务类型的安全需求(通用词)
彩票,A.3,商业违法违规(赌博)
彭丽媛,A.1,违反核心价值观(政治敏感/第一夫人)
彭德怀,A.1,违反核心价值观(政治敏感/元帅)
彭真,A.1,违反核心价值观(政治敏感/元老)
徐才厚,A.1,违反核心价值观(政治敏感/落马军头)
徐向前,A.1,违反核心价值观(政治敏感/元帅)
徐匡迪,A.1,违反核心价值观(政治敏感/官员)
徐特立,A.1,违反核心价值观(政治敏感/历史人物)
徒刑,A.1,违反核心价值观(政治敏感/司法)
得志,A.5,无法满足特定服务类型的安全需求(通用词)
律师,A.1,违反核心价值观(政治敏感/维权律师)
微冲,A.3,商业违法违规(违禁品/枪支)
德江,A.1,违反核心价值观(政治敏感/领导人名字)
心惊,A.5,无法满足特定服务类型的安全需求(通用词)
忍法,A.5,无法满足特定服务类型的安全需求(游戏/动漫)
志明,A.5,无法满足特定服务类型的安全需求(通用词)
快乐,A.5,无法满足特定服务类型的安全需求(通用词)
快感,A.1,违反核心价值观(淫秽色情/低俗)
快播,A.1,违反核心价值观(淫秽色情/播放器)
性交,A.1,违反核心价值观(淫秽色情/低俗)
性伴侣,A.1,违反核心价值观(淫秽色情/低俗)
性侵,A.1,违反核心价值观(淫秽色情/犯罪)
性奴,A.1,违反核心价值观(淫秽色情/变态)
性学,A.1,违反核心价值观(淫秽色情/学术)
性孽,A.1,违反核心价值观(淫秽色情/变态)
性爱,A.1,违反核心价值观(淫秽色情/低俗)
性病,A.3,商业违法违规(医疗广告)
性福,A.1,违反核心价值观(淫秽色情/低俗)
性药,A.3,商业违法违规(违禁品/药品)
性虐,A.1,违反核心价值观(淫秽色情/SM)
恐吓,A.1,违反核心价值观(暴力/威胁)
恐怖,A.1,违反核心价值观(政治敏感/恐怖主义)
恐龙,A.2,包含歧视性内容(外貌歧视)
恒指,A.3,商业违法违规(金融/赌博)
恩格斯,A.1,违反核心价值观(政治敏感/历史人物)
恶心,A.2,包含歧视性内容(辱骂)
恶搞,A.1,违反核心价值观(政治敏感/侮辱)
恶棍,A.2,包含歧视性内容(辱骂)
恶警,A.1,违反核心价值观(政治敏感/仇警)
情书,A.5,无法满足特定服务类型的安全需求(通用词)
情人,A.1,违反核心价值观(淫秽色情/婚外情)
情妇,A.1,违反核心价值观(淫秽色情/腐败)
情色,A.1,违反核心价值观(淫秽色情/低俗)
惊人,A.5,无法满足特定服务类型的安全需求(通用词)
惨案,A.1,违反核心价值观(政治敏感/事件)
惩罚,A.5,无法满足特定服务类型的安全需求(通用词)
怀疑,A.5,无法满足特定服务类型的安全需求(通用词)
性欲,A.1,违反核心价值观(淫秽色情/低俗)
总书记,A.1,违反核心价值观(政治敏感/职务)
总理,A.1,违反核心价值观(政治敏感/职务)
总统,A.1,违反核心价值观(政治敏感/职务)
恐怖主义,A.1,违反核心价值观(政治敏感/恐怖主义)
恐怖分子,A.1,违反核心价值观(政治敏感/恐怖主义)
恶魔,A.5,无法满足特定服务类型的安全需求(通用词)
悬案,A.5,无法满足特定服务类型的安全需求(通用词)
想念,A.5,无法满足特定服务类型的安全需求(通用词)
意淫,A.1,违反核心价值观(淫秽色情/低俗)
感性,A.5,无法满足特定服务类型的安全需求(通用词)
慰安妇,A.1,违反核心价值观(政治敏感/历史)
成人,A.1,违反核心价值观(淫秽色情/分类)
戒指,A.5,无法满足特定服务类型的安全需求(通用词)
戒严,A.1,违反核心价值观(政治敏感/历史)
戒毒,A.5,无法满足特定服务类型的安全需求(社会民生)
我操,A.2,包含歧视性内容(侮辱谩骂)
我的奋斗,A.1,违反核心价值观(政治敏感/希特勒)
战乱,A.1,违反核心价值观(政治敏感/冲突)
战备,A.1,违反核心价值观(政治敏感/军事)
截访,A.1,违反核心价值观(政治敏感/维权)
戴安,A.5,无法满足特定服务类型的安全需求(人名)
戴套,A.1,违反核心价值观(淫秽色情/低俗)
戴海静,A.1,违反核心价值观(政治敏感/案件)
房事,A.1,违反核心价值观(淫秽色情/低俗)
房子,A.5,无法满足特定服务类型的安全需求(通用词)
手枪,A.3,商业违法违规(违禁品/枪支)
手淫,A.1,违反核心价值观(淫秽色情/低俗)
打倒,A.1,违反核心价值观(政治敏感/反动)
打压,A.1,违反核心价值观(政治敏感/维权)
打炮,A.1,违反核心价值观(淫秽色情/低俗)
打砸抢,A.1,违反核心价值观(政治敏感/暴乱)
扣扣,A.3,商业违法违规(网络黑产/账号交易)
托福,A.3,商业违法违规(欺诈/代考)
执政,A.1,违反核心价值观(政治敏感/党政)
扩招,A.5,无法满足特定服务类型的安全需求(教育)
扫黄,A.1,违反核心价值观(政治敏感/社会治理)
找小姐,A.1,违反核心价值观(淫秽色情/非法服务)
抗暴,A.1,违反核心价值观(政治敏感/反抗)
抗议,A.1,违反核心价值观(政治敏感/游行)
抚摸,A.1,违反核心价值观(淫秽色情/低俗)
抢劫,A.1,违反核心价值观(暴力/犯罪)
护法,A.1,违反核心价值观(邪教/法轮功)
报名,A.5,无法满足特定服务类型的安全需求(通用词)
报复,A.1,违反核心价值观(暴力/威胁)
报纸,A.5,无法满足特定服务类型的安全需求(通用词)
押小,A.3,商业违法违规(赌博)
抽插,A.1,违反核心价值观(淫秽色情/低俗)
抽水,A.3,商业违法违规(赌博)
拍肩,A.3,商业违法违规(违禁品/迷药)
拐卖,A.1,违反核心价值观(暴力/人口贩卖)
拒捕,A.1,违反核心价值观(暴力/犯罪)
拆迁,A.1,违反核心价值观(社会民生/冲突)
拉登,A.1,违反核心价值观(政治敏感/恐怖分子)
招妓,A.1,违反核心价值观(淫秽色情/非法服务)
招嫖,A.1,违反核心价值观(淫秽色情/非法服务)
拜托,A.5,无法满足特定服务类型的安全需求(通用词)
拥有,A.5,无法满足特定服务类型的安全需求(通用词)
按摩,A.1,违反核心价值观(淫秽色情/色情服务暗示)
挣钱,A.3,商业违法违规(非法广告)
挂牌,A.3,商业违法违规(赌博/六合彩)
指压,A.1,违反核心价值观(淫秽色情/色情服务暗示)
挖苦,A.5,无法满足特定服务类型的安全需求(通用词)
振动棒,A.1,违反核心价值观(淫秽色情/成人用品)
捉奸,A.1,违反核心价值观(淫秽色情/低俗)
捅你,A.1,违反核心价值观(暴力/威胁)
捐精,A.5,无法满足特定服务类型的安全需求(医疗/低俗)
捕鱼,A.3,商业违法违规(赌博/游戏机)
探头,A.4,侵犯他人合法权益(隐私器材)
接客,A.1,违反核心价值观(淫秽色情/卖淫)
控制,A.5,无法满足特定服务类型的安全需求(通用词)
推油,A.1,违反核心价值观(淫秽色情/色情服务)
推翻,A.1,违反核心价值观(政治敏感/反动)
描述,A.5,无法满足特定服务类型的安全需求(通用词)
提款,A.3,商业违法违规(欺诈/金融)
插你,A.2,包含歧视性内容(侮辱谩骂)
插进去,A.1,违反核心价值观(淫秽色情/低俗)
握权,A.1,违反核心价值观(政治敏感/权力)
揭批,A.1,违反核心价值观(政治敏感/运动)
援交,A.1,违反核心价值观(淫秽色情/非法交易)
搜身,A.1,违反核心价值观(政治敏感/侵权)
搞死,A.1,违反核心价值观(暴力/威胁)
搞破鞋,A.1,违反核心价值观(淫秽色情/侮辱)
摄象,A.4,侵犯他人合法权益(隐私)
摆平,A.1,违反核心价值观(政治敏感/腐败)
摇钱树,A.3,商业违法违规(赌博)
摸奶,A.1,违反核心价值观(淫秽色情/低俗)
撒谎,A.5,无法满足特定服务类型的安全需求(通用词)
撞车,A.5,无法满足特定服务类型的安全需求(通用词)
撤职,A.1,违反核心价值观(政治敏感/人事)
播播,A.1,违反核心价值观(淫秽色情/播放器)
扑克,A.3,商业违法违规(赌博)
支票,A.3,商业违法违规(欺诈/假票)
支那,A.2,包含歧视性内容(民族歧视)
改号,A.3,商业违法违规(网络黑产/诈骗)
改革,A.1,违反核心价值观(政治敏感/政策)
攻击,A.3,商业违法违规(网络黑产/攻击)
放心,A.5,无法满足特定服务类型的安全需求(通用词)
政府,A.1,违反核心价值观(政治敏感/政府)
政权,A.1,违反核心价值观(政治敏感/颠覆)
政治,A.1,违反核心价值观(政治敏感/话题)
政法,A.1,违反核心价值观(政治敏感/机构)
政绩,A.1,违反核心价值观(政治敏感/官员)
政协,A.1,违反核心价值观(政治敏感/机构)
政变,A.1,违反核心价值观(政治敏感/反动)
救灾,A.1,违反核心价值观(政治敏感/社会事件)
教主,A.1,违反核心价值观(邪教)
教会,A.1,违反核心价值观(宗教/地下教会)
教程,A.3,商业违法违规(违禁品/制作教程)
教育,A.5,无法满足特定服务类型的安全需求(通用词)
散户,A.5,无法满足特定服务类型的安全需求(通用词)
敬礼,A.5,无法满足特定服务类型的安全需求(通用词)
数钱,A.5,无法满足特定服务类型的安全需求(通用词)
整人,A.5,无法满足特定服务类型的安全需求(通用词)
文书,A.3,商业违法违规(欺诈/假证)
文件,A.1,违反核心价值观(政治敏感/机密)
文革,A.1,违反核心价值观(政治敏感/历史)
斑蝥,A.3,商业违法违规(违禁品/毒性药材)
斗争,A.1,违反核心价值观(政治敏感/运动)
斯大林,A.1,违反核心价值观(政治敏感/历史人物)
新疆独立,A.1,违反核心价值观(政治敏感/分裂国家)
新闻,A.1,违反核心价值观(政治敏感/新闻管制)
方励之,A.1,违反核心价值观(政治敏感/异见人士)
施暴,A.1,违反核心价值观(暴力/犯罪)
旁听,A.5,无法满足特定服务类型的安全需求(通用词)
旅游,A.5,无法满足特定服务类型的安全需求(通用词)
旋风,A.3,商业违法违规(违禁品/炸药)
无助,A.5,无法满足特定服务类型的安全需求(通用词)
无官正,A.1,违反核心价值观(政治敏感/领导人谐音)
无帮国,A.1,违反核心价值观(政治敏感/领导人谐音)
无耻,A.2,包含歧视性内容(辱骂)
无良,A.5,无法满足特定服务类型的安全需求(通用词)
日你,A.2,包含歧视性内容(侮辱谩骂)
日军,A.1,违反核心价值观(政治敏感/历史)
日本,A.1,违反核心价值观(政治敏感/反日)
日治,A.1,违反核心价值观(政治敏感/历史)
日皇,A.1,违反核心价值观(政治敏感/历史)
旧事,A.5,无法满足特定服务类型的安全需求(通用词)
早泄,A.3,商业违法违规(违禁品/药品广告)
时光,A.5,无法满足特定服务类型的安全需求(通用词)
时代,A.5,无法满足特定服务类型的安全需求(通用词)
昆仑,A.5,无法满足特定服务类型的安全需求(通用词)
明慧,A.1,违反核心价值观(邪教/法轮功)
明慧网,A.1,违反核心价值观(邪教/法轮功)
昏药,A.3,商业违法违规(违禁品/迷药)
易趣,A.5,无法满足特定服务类型的安全需求(电商)
春宫,A.1,违反核心价值观(淫秽色情/低俗)
春药,A.3,商业违法违规(违禁品/药品)
显然,A.5,无法满足特定服务类型的安全需求(通用词)
普京,A.1,违反核心价值观(政治敏感/外国领导人)
景山,A.5,无法满足特定服务类型的安全需求(地名)
暴力,A.1,违反核心价值观(暴力/恐怖)
暴动,A.1,违反核心价值观(政治敏感/社会事件)
暴君,A.1,违反核心价值观(政治敏感/影射)
暴政,A.1,违反核心价值观(政治敏感/反动)
暴民,A.1,违反核心价值观(政治敏感/社会事件)
暴乱,A.1,违反核心价值观(政治敏感/社会事件)
曝光,A.1,违反核心价值观(社会民生/负面)
更名,A.5,无法满足特定服务类型的安全需求(通用词)
曾庆红,A.1,违反核心价值观(政治敏感/领导人)
曾培炎,A.1,违反核心价值观(政治敏感/领导人)
替考,A.3,商业违法违规(欺诈/考试作弊)
最快,A.3,商业违法违规(非法广告)
月经,A.1,违反核心价值观(淫秽色情/低俗)
有码,A.1,违反核心价值观(淫秽色情/视频)
服药,A.1,违反核心价值观(暴力/自杀)
朝廷,A.1,违反核心价值观(政治敏感/影射)
朝鲜,A.1,违反核心价值观(政治敏感/国际关系)
朦胧,A.5,无法满足特定服务类型的安全需求(通用词)
木马,A.3,商业违法违规(网络黑产/病毒)
末日,A.1,违反核心价值观(邪教/末世论)
本拉登,A.1,违反核心价值观(政治敏感/恐怖分子)
朱容基,A.1,违反核心价值观(政治敏感/领导人)
朱德,A.1,违反核心价值观(政治敏感/领导人)
朱镕基,A.1,违反核心价值观(政治敏感/领导人)
机会,A.5,无法满足特定服务类型的安全需求(通用词)
机密,A.1,违反核心价值观(政治敏感/保密)
机器,A.5,无法满足特定服务类型的安全需求(通用词)
机枪,A.3,商业违法违规(违禁品/枪支)
杀人,A.1,违反核心价值观(暴力/犯罪)
杂种,A.2,包含歧视性内容(辱骂)
权势,A.5,无法满足特定服务类型的安全需求(通用词)
权力,A.1,违反核心价值观(政治敏感/腐败)
权贵,A.1,违反核心价值观(政治敏感/阶层)
李大师,A.1,违反核心价值观(邪教/李洪志)
李岚清,A.1,违反核心价值观(政治敏感/领导人)
李志绥,A.1,违反核心价值观(政治敏感/禁书作者)
李扬,A.5,无法满足特定服务类型的安全需求(人名)
李敏,A.5,无法满足特定服务类型的安全需求(人名)
李月月鸟,A.1,违反核心价值观(政治敏感/李鹏)
李洪志,A.1,违反核心价值观(邪教/法轮功)
李瑞环,A.1,违反核心价值观(政治敏感/领导人)
李登辉,A.1,违反核心价值观(政治敏感/台湾政治人物)
李纳,A.5,无法满足特定服务类型的安全需求(人名)
李红志,A.1,违反核心价值观(邪教/李洪志变体)
李肇星,A.1,违反核心价值观(政治敏感/官员)
李铁映,A.1,违反核心价值观(政治敏感/官员)
李长春,A.1,违反核心价值观(政治敏感/领导人)
李鹏,A.1,违反核心价值观(政治敏感/领导人)
材料,A.5,无法满足特定服务类型的安全需求(通用词)
杜冷丁,A.3,商业违法违规(违禁品/毒品)
杨尚昆,A.1,违反核心价值观(政治敏感/领导人)
杨白冰,A.1,违反核心价值观(政治敏感/军方)
极品,A.1,违反核心价值观(淫秽色情/低俗)
林彪,A.1,违反核心价值观(政治敏感/历史人物)
枪决,A.1,违反核心价值观(政治敏感/死刑)
枪击,A.1,违反核心价值观(暴力/犯罪)
枪口,A.3,商业违法违规(违禁品/枪支)
枪声,A.1,违反核心价值观(政治敏感/六四)
枪手,A.3,商业违法违规(欺诈/代考)
枪支,A.3,商业违法违规(违禁品/枪支)
枪栓,A.3,商业违法违规(违禁品/枪支)
枪械,A.3,商业违法违规(违禁品/枪支)
柏杨,A.1,违反核心价值观(政治敏感/作家)
查封,A.1,违反核心价值观(政治敏感/封杀)
柳斌,A.5,无法满足特定服务类型的安全需求(人名)
柴玲,A.1,违反核心价值观(政治敏感/民运人士)
校花,A.1,违反核心价值观(淫秽色情/低俗)
核弹,A.3,商业违法违规(违禁品/武器)
核武器,A.3,商业违法违规(违禁品/武器)
核爆炸,A.1,违反核心价值观(政治敏感/灾难)
格斗,A.1,违反核心价值观(暴力/游戏)
桂敏海,A.1,违反核心价值观(政治敏感/书商)
桃色,A.1,违反核心价值观(淫秽色情/低俗)
案件,A.1,违反核心价值观(政治敏感/司法)
档案,A.1,违反核心价值观(政治敏感/机密)
桥牌,A.3,商业违法违规(赌博)
梁光烈,A.1,违反核心价值观(政治敏感/军方)
梦遗,A.1,违反核心价值观(淫秽色情/低俗)
检查,A.5,无法满足特定服务类型的安全需求(通用词)
模仿,A.5,无法满足特定服务类型的安全需求(通用词)
楼主,A.5,无法满足特定服务类型的安全需求(通用词)
樟脑,A.3,商业违法违规(违禁品/制毒原料)
模特,A.1,违反核心价值观(淫秽色情/低俗)
横幅,A.1,违反核心价值观(政治敏感/示威)
橡皮子弹,A.1,违反核心价值观(政治敏感/镇压)
欺压,A.1,违反核心价值观(政治敏感/社会不公)
欺负,A.5,无法满足特定服务类型的安全需求(通用词)
欺骗,A.5,无法满足特定服务类型的安全需求(通用词)
歌功颂德,A.1,违反核心价值观(政治敏感/讽刺)
正义,A.1,违反核心价值观(政治敏感/维权)
正大,A.5,无法满足特定服务类型的安全需求(通用词)
正方,A.5,无法满足特定服务类型的安全需求(通用词)
正法,A.1,违反核心价值观(邪教/法轮功)
正版,A.5,无法满足特定服务类型的安全需求(通用词)
武器,A.3,商业违法违规(违禁品/枪支)
武警,A.1,违反核心价值观(政治敏感/军方)
死刑,A.1,违反核心价值观(政治敏感/司法)
死难者,A.1,违反核心价值观(政治敏感/六四)
歼灭,A.5,无法满足特定服务类型的安全需求(通用词)
殷红,A.5,无法满足特定服务类型的安全需求(通用词)
毒品,A.3,商业违法违规(违禁品/毒品)
毒枭,A.3,商业违法违规(违禁品/毒品)
毒素,A.3,商业违法违规(违禁品/毒品)
毒药,A.3,商业违法违规(违禁品/毒品)
比基尼,A.1,违反核心价值观(淫秽色情/低俗)
毕福剑,A.1,违反核心价值观(政治敏感/名人)
毛主席,A.1,违反核心价值观(政治敏感/领导人)
毛泽东,A.1,违反核心价值观(政治敏感/领导人)
